model_name,table_access_accuracy,column_access_accuracy,query_similarity,results_match,null_query
Qwen 2.5 14b,0.38671332922650253,0.2598036444129395,0.41489539697768935,0.523224043715847,overall
Medalpaca 13b,0.07139639180306935,0.014231195338402787,0.16961823236942558,0.38895394223263074,overall
Phi4,0.47597258536695786,0.35308341033869645,0.4719984467701005,0.3040593286494926,overall
SQLCoder 7b,0.33780179976562325,0.2672152246534863,0.39744339088409575,0.2542935206869633,overall
DuckDB NSQL 7b,0.5412298230653031,0.48357253683511187,0.6497339720411944,0.25214676034348166,overall
MedQwen Reasoning i1,0.4232797528172235,0.2952547859450553,0.4351488282811661,0.25,overall
Qwen 2 Math 7b,0.2414053437238449,0.13716085149995827,0.3782808704990772,0.10987509758001561,overall
Meditron 7b,0.3001956558382202,0.21833826371426826,0.3793127467421247,0.09562841530054644,overall
Qwen 1.5 14b,0.28033857725839295,0.12866492513878194,0.35046990683497264,0.07259953161592506,overall
Qwen 2.5 14b,0.0,0.0,0.7133333333333334,0.8288888888888889,1
Phi4,0.0,0.0,0.5044444444444445,0.6311111111111111,1
MedQwen Reasoning i1,0.0,0.0,0.4177777777777778,0.5022222222222222,1
Qwen 2.5 14b,0.42394503614818124,0.28481683225757426,0.3861626046456311,0.4937954642704322,0
SQLCoder 7b,0.0,0.0,0.35333333333333333,0.4444444444444444,1
Qwen 2 Math 7b,0.0,0.0,0.4177777777777778,0.4222222222222222,1
Medalpaca 13b,0.0,0.0,0.3844444444444444,0.39111111111111113,1
Medalpaca 13b,0.07827024210503367,0.015601336096272117,0.148935349307004,0.38874625588361145,0
DuckDB NSQL 7b,0.0,0.0,0.12222222222222222,0.35333333333333333,1
Qwen 1.5 14b,0.0,0.0,0.28,0.2866666666666667,1
Phi4,0.5217979305563312,0.3870773201915876,0.46887463441377725,0.2725716730851519,0
DuckDB NSQL 7b,0.5933379575067637,0.5301295846690444,0.7005213677233805,0.2424047924689773,0
SQLCoder 7b,0.3703244377404907,0.2929419792735267,0.40169018718230776,0.23598630723149336,0
MedQwen Reasoning i1,0.46403197548897157,0.3236811132183276,0.4368212657493999,0.22571673085151905,0
Meditron 7b,0.0,0.0,0.15333333333333332,0.2088888888888889,1
Meditron 7b,0.32909767661853667,0.2393592775506869,0.40106942967621884,0.08472400513478819,0
Qwen 2 Math 7b,0.2646471932479635,0.15036632500765645,0.374478215754658,0.07980316645271716,0
Qwen 1.5 14b,0.3073288125528467,0.1410524339775607,0.35725455768557973,0.051989730423620026,0
