model_name,table_access_accuracy,column_access_accuracy,query_similarity,results_match,null_query
modified db Qwen 2.5 14b,0.4501273054663673,0.3019564202342062,0.4519506106978978,0.3255269320843091,overall
modified db Phi4,0.5122988052584072,0.38218536420111404,0.4875090016328588,0.2728337236533958,overall
modified db MedQwen Reasoning i1,0.4696078782437096,0.32103978075867756,0.46270794241179064,0.24316939890710382,overall
modified db DuckDB NSQL 7b,0.560309176468427,0.4893364787197256,0.6439525611243404,0.19398907103825136,overall
modified db SQLCoder 7b,0.35721205759542923,0.27949766830184797,0.41730768671989843,0.16198282591725216,overall
modified db Qwen 2.5 14b,0.0,0.0,0.78,0.84,1
modified db MedQwen Reasoning i1,0.0,0.0,0.6066666666666667,0.6911111111111111,1
modified db Phi4,0.0,0.0,0.5155555555555555,0.6422222222222222,1
modified db SQLCoder 7b,0.0,0.0,0.5266666666666666,0.6111111111111112,1
modified db DuckDB NSQL 7b,0.0,0.0,0.22666666666666666,0.4666666666666667,1
modified db Qwen 2.5 14b,0.4934643374432319,0.3310279626187575,0.4203669082618802,0.27599486521181,0
modified db Phi4,0.5616215400393835,0.41898113097272327,0.4848087557481319,0.23727000427899017,0
modified db MedQwen Reasoning i1,0.5148204467524108,0.3519486171603474,0.44884798821523647,0.20004278990158322,0
modified db DuckDB NSQL 7b,0.614254219132268,0.5364484631920996,0.6841277114251434,0.16773641420624733,0
modified db SQLCoder 7b,0.3916034623703422,0.306406943170447,0.4067789017442789,0.11874197689345314,0
