model_name,table_access_accuracy,column_access_accuracy,query_similarity,results_match,null_query
Qwen 2.5 14b,0.4501273054663673,0.3019564202342062,0.4519506106978978,0.3282591725214676,overall
MedQwen Reasoning i1,0.4696078782437096,0.32103978075867756,0.46270794241179064,0.24395003903200624,overall
DuckDB NSQL 7b,0.560309176468427,0.4893364787197256,0.6439525611243404,0.19652615144418423,overall
Phi4,0.5122988052584072,0.38218536420111404,0.4875090016328588,0.18071818891491023,overall
SQLCoder 7b,0.35721205759542923,0.27949766830184797,0.41730768671989843,0.15866510538641687,overall
Qwen 2.5 14b,0.0,0.0,0.78,0.8444444444444444,1
MedQwen Reasoning i1,0.0,0.0,0.6066666666666667,0.6911111111111111,1
SQLCoder 7b,0.0,0.0,0.5266666666666666,0.6,1
Phi4,0.0,0.0,0.5155555555555555,0.5733333333333334,1
DuckDB NSQL 7b,0.0,0.0,0.22666666666666666,0.4666666666666667,1
Qwen 2.5 14b,0.4934643374432319,0.3310279626187575,0.4203669082618802,0.2785622593068036,0
MedQwen Reasoning i1,0.5148204467524108,0.3519486171603474,0.44884798821523647,0.20089858793324775,0
DuckDB NSQL 7b,0.614254219132268,0.5364484631920996,0.6841277114251434,0.17051775780915704,0
Phi4,0.5616215400393835,0.41898113097272327,0.4848087557481319,0.14291827128797605,0
SQLCoder 7b,0.3916034623703422,0.306406943170447,0.4067789017442789,0.11617458279845956,0
