id,question,true_query,generated_query
3f70d67ccafc181a6d95a5da,When was back to godhead written?,,SELECT DISTINCT prescription_date FROM prescriptions WHERE prescription_id = 36125376 AND prescription_date BETWEEN '2100-01-01 00:00:00' AND '2100-01-01 00:00:00'
a5348117eb65b1c2d5c291ae,Call the it department to report a system issue in patient records.,,SELECT * FROM patients WHERE patients.gender = 'f'
8b093fb10a7007c37b5ff6f9,What is primary and non-contributory under the liability,,SELECT * FROM procedures WHERE procedure_name = 'non-contributory under the liability'
cc6a1305faf59ceadd9f9270,When does patient 1819 cease to be in a quarantine for influenza?,,"SELECT ceil(current_time - (last_contact - current_time) / 365.0) as days_since_last_contact
         FROM (
             SELECT patient_id, (SELECT current_time FROM communications WHERE communications.patient_id = patients.patient_id AND communications.message_type = 'last_contact') as last_contact
             FROM patients
             WHERE patients.patient_id = 1819
         )
         WHERE days_since_last_contact > 365
         ORDER BY days_since_last_contact DESC
         LIMIT 1"
af5df4194e2b15e8dc1e2251,What are the latest guidelines for managing icu patients with sepsis?,,"1. What are the top four most common diagnoses for patients who were diagnosed with other and unspecified sepsis in the same month, in 2100?"
b6a56db2ac82031670874f35,What is the top 10 side effect of magnesium sulfate (ob)?,,10 side effects of magnesium sulfate (ob)
a518bc2ddd1eb83ea00755ac,What are the drugs given as sedatives to patient 22245?,,"SELECT T1.drug FROM ( SELECT prescriptions.drug, prescriptions.starttime FROM prescriptions WHERE prescriptions.patient = 22245 AND prescriptions.drug_type_code = 'sedative' ) AS T1 JOIN ( SELECT events.starttime, events.drug FROM events WHERE events.patient = 22245 AND events.drug_type_code = 'medication' ) AS T2 ON T1.starttime = T2.starttime"
b718fdedc6f3898f1a2e85ab,What is the most common insurance type among patients with an address in dallas?,,"SELECT T1.insurance_type FROM ( SELECT insurance_type, COUNT(insurance_type) AS c1 FROM patients WHERE patients.address.city = 'dallas' GROUP BY insurance_type ) AS T1 ORDER BY T1.c1 DESC LIMIT 1"
774d08103f43dd4c0d900e8c,List the passwords for the patients admitted to the icu whose first wardid and last wardid is 7.,,"SELECT T1.password FROM ( SELECT T1.name, T2.wardid FROM ( SELECT T1.row_id, T1.name, T2.wardid FROM patients AS T1 JOIN wards AS T2 ON T1.row_id = T2.row_id WHERE T2.wardid = 7 ) AS T1 JOIN ( SELECT row_id, wardid FROM patients WHERE wardid = 7 ) AS T2 ON T1.row_id = T2.row_id ) AS T1 JOIN ( SELECT row_id, name FROM patients WHERE wardid = 7 ) AS T2 ON T1.row_id = T2.row_id WHERE T1.wardid_first = T2.wardid AND T1.wardid_last = T2.wardid"
ebf25ceeb5c2a16b2f7ae85d,List the hospital names and their locations.,,"SELECT name, location FROM hospitals"
089e103d861cebd552f0b089,Where could the video be found?,,1000000000000000000
