id,question,true_query,generated_query
3f70d67ccafc181a6d95a5da,When was back to godhead written?,,SELECT DISTINCT drug_name FROM drug WHERE drug.drug_name = 'back to godhead'
a5348117eb65b1c2d5c291ae,Call the it department to report a system issue in patient records.,,SELECT COUNT(*)>0 FROM patients WHERE patients.age = 60
8b093fb10a7007c37b5ff6f9,What is primary and non-contributory under the liability,,"SELECT DISTINCT d_icd_procedures.long_title FROM d_icd_procedures WHERE d_icd_procedures.icd_code = ( SELECT procedures.icd_code FROM procedures WHERE procedures.charttime >= datetime(current_time,'-1 year') AND procedures.hospital_id = 1 ORDER BY procedures.charttime DESC LIMIT 1 )"
cc6a1305faf59ceadd9f9270,When does patient 1819 cease to be in a quarantine for influenza?,,SELECT quarantineforinfluenza.stop_time FROM quarantineforinfluenza WHERE quarantineforinfluenza.row_id IN ( SELECT procedures.row_id FROM procedures WHERE procedures.hadm_id IN ( SELECT admissions.hadm_id FROM admissions WHERE admissions.age = 1819 ) )
af5df4194e2b15e8dc1e2251,What are the latest guidelines for managing icu patients with sepsis?,,"SELECT DISTINCT T1.text FROM ( SELECT T2.text FROM ( SELECT T1.charttime, T1.hadm_id FROM ( SELECT hadm_id, MIN(charttime) AS charttime FROM microbiologyevents WHERE microbiologyevents.hadm_id IN ( SELECT T1.hadm_id FROM ( SELECT hadm_id, MIN(charttime) AS charttime FROM microbiologyevents WHERE microbiologyevents.spec_type_desc = 'other' AND microbiologyevents.org_name = 'other' AND microbiologyevents.org_name_is_proven = 'no' AND microbiologyevents.hadm_id IN ( SELECT T1.hadm_id FROM ( SELECT hadm_id, MIN(charttime) AS charttime FROM microbiologyevents WHERE microbiologyevents.spec_type_desc = 'other' AND microbiologyevents.org_name = 'other' AND microbiologyevents.org_name_is_proven = 'no' GROUP BY hadm_id ) AS T1 WHERE datetime(T1.charttime) >= datetime(current_time,'-1 year') ) GROUP BY hadm_id ) AS T1 WHERE datetime(T1.charttime) >= datetime(current_time,'-1 year') ) AS T2 WHERE T2.charttime >= datetime(current_time,'-1 year') ) AS T3 WHERE T3.charttime >= datetime"
b6a56db2ac82031670874f35,What is the top 10 side effect of magnesium sulfate (ob)?,,"SELECT T3.drug FROM ( SELECT T2.drug, DENSE_RANK() OVER ( ORDER BY COUNT(*) DESC ) AS C1 FROM ( SELECT * FROM adverse_event WHERE adverse_event.event_type = 'side effect' ) AS T1 JOIN ( SELECT * FROM drug_exposure WHERE drug_exposure.drug = 'magnesium sulfate (ob)' ) AS T2 ON T1.person_id = T2.person_id WHERE T1.event_time BETWEEN T2.starttime AND T2.endtime GROUP BY T2.drug ) AS T3 WHERE T3.C1 <= 10"
a518bc2ddd1eb83ea00755ac,What are the drugs given as sedatives to patient 22245?,,SELECT DISTINCT drugs.drug FROM drugs WHERE drugs.sedatives = true AND drugs.patient_id = 22245
b718fdedc6f3898f1a2e85ab,What is the most common insurance type among patients with an address in dallas?,,"SELECT T1.insurance FROM ( SELECT insurance, DENSE_RANK() OVER ( ORDER BY COUNT(*) DESC ) AS C1 FROM patients WHERE patients.address LIKE '%dallas%' GROUP BY insurance ) AS T1 WHERE T1.C1 <= 3"
774d08103f43dd4c0d900e8c,List the passwords for the patients admitted to the icu whose first wardid and last wardid is 7.,,SELECT DISTINCT patients.password FROM patients WHERE patients.age >= 18 AND patients.admission_location = 'icu' AND patients.wardid IS NOT NULL AND patients.wardid = 7 AND patients.dischtime IS NOT NULL AND patients.wardid = 7
ebf25ceeb5c2a16b2f7ae85d,List the hospital names and their locations.,,"SELECT DISTINCT hospital_name, hospital_location FROM hospital WHERE hospital_name IS NOT NULL AND hospital_location IS NOT NULL"
089e103d861cebd552f0b089,Where could the video be found?,,"SELECT DISTINCT T1.path FROM ( SELECT T2.path FROM ( SELECT T1.row_id, T1.data FROM ( SELECT * FROM microbiologyevents WHERE microbiologyevents.hadm_id IN ( SELECT admissions.hadm_id FROM admissions WHERE admissions.age = 60 ) ) AS T1 WHERE T1.spec_type_desc = 'video' ) AS T2 ) AS T1"
d440a9848fc7ceb07f335a2d,List the passwords for the patients in the icu last month.,,"SELECT DISTINCT patients.password FROM patients WHERE patients.icustay_id IN ( SELECT icustays.icustay_id FROM icustays WHERE datetime(icustays.admittime,'start of month') = datetime(current_time,'start of month','-1 month') )"
574b827c1b18b74ef8d4e5aa,What is the average minimum humidity of the patients admitted to the icu yesterday?,,"SELECT AVG( MIN( icu_stays.humidity ) ) FROM icu_stays WHERE datetime >= datetime(current_time,'start of day','-1 day') AND datetime < datetime(current_time,'start of day')"
3a2dac716607f985a10414d6,Who are the patients that most recently received input medication from hwid1010?,,"SELECT patients.age, patients.gender FROM patients WHERE patients.id IN ( SELECT inputevents.stay_id FROM inputevents WHERE inputevents.itemid IN ( SELECT items.id FROM items WHERE items.label = 'hwid1010' AND items.linksto = 'inputevents' ) ORDER BY inputevents.starttime DESC LIMIT 1 )"
7bd71f98ee2dc6f246fa0efc,Which month of the year antihistamines are most prescribed?,,"SELECT T1.C1 FROM ( SELECT strftime('%Y-%m',prescriptions.starttime) AS C1, DENSE_RANK() OVER ( ORDER BY COUNT(*) DESC ) AS C2 FROM prescriptions WHERE prescriptions.drug = 'antihistamines' GROUP BY strftime('%Y-%m',prescriptions.starttime) ) AS T1 WHERE T1.C2 <= 3"
a3dd6fd412e2c57c8e042d2c,What month of the year is prescribed for the most antihistamines?,,"SELECT T1.V1 FROM ( SELECT SUM(T2.C1) AS C1, T1.V1 FROM ( SELECT strftime('%Y-%m',prescriptions.starttime) AS V1 FROM prescriptions WHERE prescriptions.drug = 'antihistamines' ) AS T1 JOIN ( SELECT strftime('%Y-%m',prescriptions.starttime) AS V1, COUNT(*) AS C1 FROM prescriptions WHERE prescriptions.drug = 'antihistamines' GROUP BY strftime('%Y-%m',prescriptions.starttime) ) AS T2 ON T1.V1 = T2.V1 GROUP BY T1.V1 ) AS T3 WHERE T3.C1 = ( SELECT MAX(T3.C1) FROM ( SELECT SUM(T2.C1) AS C1, T1.V1 FROM ( SELECT strftime('%Y-%m',prescriptions.starttime) AS V1 FROM prescriptions WHERE prescriptions.drug = 'antihistamines' ) AS T1 JOIN ( SELECT strftime('%Y-%m',prescriptions.starttime) AS V1, COUNT(*) AS C1 FROM prescriptions WHERE prescriptions.drug = 'antihistamines' GROUP BY strftime('%Y-%m',prescriptions.starttime) ) AS T2 ON T1.V1 = T2.V"
872a8cc39a2fa2be94add274,I.e. what is the address of patient 49036?,,SELECT DISTINCT d.street FROM department d WHERE d.department_id IN ( SELECT t.department_id FROM tab1 t WHERE t.patient_id = 49036 )
a751f404e68e0842c821fdd2,List the arrival times of diabetic patients this month.,,SELECT visits.arrivaltime FROM visits WHERE visits.age = 30 AND visits.month = current_time's month
