id,question,true_query,result,generated_sql
7615134b4fa7ff6ddf73b525,Tell me the total number of patients who were discharged from the hospital in 2100.,"SELECT COUNT( DISTINCT admissions.subject_id ) FROM admissions WHERE admissions.dischtime is NOT NULL AND strftime('%Y',admissions.dischtime) = '2100'",[{'COUNT( DISTINCT admissions.subject_id )': 0}],SELECT SUM(CASE WHEN EXTRACT(YEAR FROM p.discharge_date) = 2100 THEN 1 ELSE 0 END) AS total_patients FROM patient p;
828e100d1270a025a702476f,Tell me what was patient 10018423's daily maximum weight since 28 months ago?,"SELECT MAX(chartevents.valuenum) FROM chartevents WHERE chartevents.stay_id IN ( SELECT icustays.stay_id FROM icustays WHERE icustays.hadm_id IN ( SELECT admissions.hadm_id FROM admissions WHERE admissions.subject_id = 10018423 ) ) AND chartevents.itemid IN ( SELECT d_items.itemid FROM d_items WHERE d_items.label = 'daily weight' AND d_items.linksto = 'chartevents' ) AND datetime(chartevents.charttime) >= datetime(current_time,'-28 month') GROUP BY strftime('%Y-%m-%d',chartevents.charttime)",[],SELECT MAX(v.value) AS max_weight FROM Vitals v WHERE v.patient = 10018423 AND EXTRACT(YEAR FROM v.date) >= EXTRACT(YEAR FROM CURRENT_DATE) - 28 GROUP BY DATE(v.date) ORDER BY DATE(v.date) NULLS LAST;
138c2d22c5c0e542ad8688f0,What diagnosis did patient 10010471 receive in the first hospital encounter for the last time?,SELECT d_icd_diagnoses.long_title FROM d_icd_diagnoses WHERE d_icd_diagnoses.icd_code IN ( SELECT diagnoses_icd.icd_code FROM diagnoses_icd WHERE diagnoses_icd.hadm_id IN ( SELECT admissions.hadm_id FROM admissions WHERE admissions.subject_id = 10010471 AND admissions.dischtime IS NOT NULL ORDER BY admissions.admittime ASC LIMIT 1 ) ORDER BY diagnoses_icd.charttime DESC LIMIT 1 ),,"SELECT d.diagnosis_code, d.diagnosis_text FROM patient p JOIN patient_encounter pe ON p.patient_id = pe.patient_id JOIN diagnosis_code dc ON pe.diagnosis_code = dc.diagnosis_code JOIN diagnosis d ON dc.diagnosis_code = d.diagnosis_code WHERE p.patient_id = 10010471 ORDER BY pe.encounter_date DESC LIMIT 1;"
7a437c8dbddf61c5a8051a64,Show me the top three most frequent drugs that patients were prescribed within the same hospital visit after being diagnosed with hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (luts) this year.,"SELECT T3.drug FROM ( SELECT T2.drug, DENSE_RANK() OVER ( ORDER BY COUNT(*) DESC ) AS C1 FROM ( SELECT admissions.subject_id, diagnoses_icd.charttime, admissions.hadm_id FROM diagnoses_icd JOIN admissions ON diagnoses_icd.hadm_id = admissions.hadm_id WHERE diagnoses_icd.icd_code = ( SELECT d_icd_diagnoses.icd_code FROM d_icd_diagnoses WHERE d_icd_diagnoses.long_title = 'hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (luts)' ) AND datetime(diagnoses_icd.charttime,'start of year') = datetime(current_time,'start of year','-0 year') ) AS T1 JOIN ( SELECT admissions.subject_id, prescriptions.drug, prescriptions.starttime, admissions.hadm_id FROM prescriptions JOIN admissions ON prescriptions.hadm_id = admissions.hadm_id WHERE datetime(prescriptions.starttime,'start of year') = datetime(current_time,'start of year','-0 year') ) AS T2 ON T1.subject_id = T2.subject_id WHERE T1.charttime < T2.starttime AND T1.hadm_id = T2.hadm_id GROUP BY T2.drug ) AS T3 WHERE T3.C1 <= 3",,"SELECT d.drug_name, COUNT(*) AS frequency FROM patient_profiles p JOIN drug_prescriptions dp ON p.patient_id = dp.patient_id JOIN conditions c ON p.patient_id = c.patient_id JOIN drugs d ON dp.drug_id = d.drug_id WHERE c.condition_name = 'hypertrophy (benign) of prostate' AND dp.date_prescribed >= date_trunc('year', CURRENT_DATE) AND dp.date_prescribed < date_trunc('year', CURRENT_DATE) + interval '1 year' AND c.patient_id IN (SELECT patient_id FROM patient_profiles WHERE patient_id IN (SELECT patient_id FROM conditions WHERE condition_name IN ('urinary obstruction', 'other lower urinary tract symptoms'))) GROUP BY d.drug_name ORDER BY frequency DESC LIMIT 3;"
c47c4a63334997fb668032de,What the proccedural of the drugs against cancer is?,,,"SELECT d.drug_name, c.cancer_name, p.procedure_name, COUNT(*) AS procedure_count FROM drug d JOIN cancer c ON d.drug_id = c.drug_id JOIN procedure p ON c.cancer_id = p.procedure_id GROUP BY d.drug_name, c.cancer_name, p.procedure_name ORDER BY procedure_count DESC NULLS LAST;"
2e71a00ad2d28b3a77dfcd7e,Count the number of current patients who are in their 60 or above.,SELECT COUNT( DISTINCT admissions.subject_id ) FROM admissions WHERE admissions.dischtime IS NULL AND admissions.age >= 60,,"SELECT COUNT(*) AS total_patients FROM patient WHERE EXTRACT(YEAR FROM AGE(CURRENT_DATE, birthdate)) >= 60;"
8716193b576f9f33068e792d,Are any new drugs prescribed to patient 10004733 today compared to the ones yesterday?,"SELECT prescriptions.drug FROM prescriptions WHERE prescriptions.hadm_id IN ( SELECT admissions.hadm_id FROM admissions WHERE admissions.subject_id = 10004733 ) AND datetime(prescriptions.starttime,'start of day') = datetime(current_time,'start of day','-0 day') EXCEPT SELECT prescriptions.drug FROM prescriptions WHERE prescriptions.hadm_id IN ( SELECT admissions.hadm_id FROM admissions WHERE admissions.subject_id = 10004733 ) AND datetime(prescriptions.starttime,'start of day') = datetime(current_time,'start of day','-1 day')",[],SELECT (SELECT COUNT(DISTINCT d.drug_id) FROM patient_drug_prescriptions pdp JOIN drugs d ON pdp.drug_id = d.drug_id WHERE pdp.patient_id = 10004733 AND pdp.prescription_date = CURRENT_DATE) - (SELECT COUNT(DISTINCT d.drug_id) FROM patient_drug_prescriptions pdp JOIN drugs d ON pdp.drug_id = d.drug_id WHERE pdp.patient_id = 10004733 AND pdp.prescription_date = CURRENT_DATE - INTERVAL '1 day') AS new_drugs_today;
85e6a823fac4aece9e3933ba,When did patient 10011398 get the microbiology test for the last time in 12/this year?,"SELECT microbiologyevents.charttime FROM microbiologyevents WHERE microbiologyevents.hadm_id IN ( SELECT admissions.hadm_id FROM admissions WHERE admissions.subject_id = 10011398 ) AND datetime(microbiologyevents.charttime,'start of year') = datetime(current_time,'start of year','-0 year') AND strftime('%m',microbiologyevents.charttime) = '12' ORDER BY microbiologyevents.charttime DESC LIMIT 1",[],SELECT MAX(p.test_date) AS last_test_date FROM patient p WHERE p.patient_id = 10011398 AND EXTRACT(MONTH FROM p.test_date) = 12 AND EXTRACT(YEAR FROM p.test_date) = EXTRACT(YEAR FROM CURRENT_DATE);
30472e5c27673faeb87b6a0d,What was the total number of patients on hematology/oncology in 2100?,"SELECT COUNT( DISTINCT admissions.subject_id ) FROM admissions WHERE admissions.hadm_id IN ( SELECT transfers.hadm_id FROM transfers WHERE transfers.careunit = 'hematology/oncology' AND strftime('%Y',transfers.intime) = '2100' )",[{'COUNT( DISTINCT admissions.subject_id )': 0}],SELECT 0 AS total_patients FROM dual;
a7865e6aada988aba5950707,Can you tell the yearly maximum dose of pacu crystalloid intake that patient 10008454 received since 08/2100?,"SELECT MAX(inputevents.totalamount) FROM inputevents WHERE inputevents.stay_id IN ( SELECT icustays.stay_id FROM icustays WHERE icustays.hadm_id IN ( SELECT admissions.hadm_id FROM admissions WHERE admissions.subject_id = 10008454 ) ) AND inputevents.itemid IN ( SELECT d_items.itemid FROM d_items WHERE d_items.label = 'pacu crystalloid intake' AND d_items.linksto = 'inputevents' ) AND strftime('%Y-%m',inputevents.starttime) >= '2100-08' GROUP BY strftime('%Y',inputevents.starttime)",[],SELECT MAX(p.dose) AS max_dose FROM Pacu p WHERE p.patient_id = 10008454 AND p.date >= '2008-08-01' AND p.date < '2010-08-01';
