id,question,true_query,result,generated_sql
110b301bfc80d9c150556b92,What was measured as patient 10007795's weight during the last check in 05/this year?,"SELECT chartevents.valuenum FROM chartevents WHERE chartevents.stay_id IN ( SELECT icustays.stay_id FROM icustays WHERE icustays.hadm_id IN ( SELECT admissions.hadm_id FROM admissions WHERE admissions.subject_id = 10007795 ) ) AND chartevents.itemid IN ( SELECT d_items.itemid FROM d_items WHERE d_items.label = 'daily weight' AND d_items.linksto = 'chartevents' ) AND datetime(chartevents.charttime,'start of year') = datetime(current_time,'start of year','-0 year') AND strftime('%m',chartevents.charttime) = '05' ORDER BY chartevents.charttime DESC LIMIT 1",[],
8304664f47f63bb4e4aedbc5,Count the current patients who are in the 40s.,SELECT COUNT( DISTINCT admissions.subject_id ) FROM admissions WHERE admissions.dischtime IS NULL AND admissions.age BETWEEN 40 AND 49,,SELECT COUNT(*) FROM patients WHERE patients年龄 >= 40
44b000c0c7e63ce369e8fcb0,Can you tell me if patient 10039997 is male or female?,SELECT patients.gender FROM patients WHERE patients.subject_id = 10039997,[{'gender': 'F'}],SELECT gender FROM patients WHERE patientssubject_id = 10039997
fb08961df2b632f9644c112c,When was patient 10015860's last hospital discharge?,"SELECT admissions.dischtime FROM admissions WHERE admissions.subject_id = 10015860 AND strftime('%Y',admissions.admittime) >= '2100' ORDER BY admissions.dischtime DESC LIMIT 1",[{'dischtime': '2193-11-27 21:58:00'}],SELECT disch time FROM output where subject_id = 10015860 and type like 'Discharge'
2977de037421f92addee92ab,What is the total volume of patient 10021487's input on 12/22/this year?,"SELECT SUM(inputevents.totalamount) FROM inputevents WHERE inputevents.stay_id IN ( SELECT icustays.stay_id FROM icustays WHERE icustays.hadm_id IN ( SELECT admissions.hadm_id FROM admissions WHERE admissions.subject_id = 10021487 ) ) AND datetime(inputevents.starttime,'start of year') = datetime(current_time,'start of year','-0 year') AND strftime('%m-%d',inputevents.starttime) = '12-22'",[{'SUM(inputevents.totalamount)': None}],SELECT SUM chartevents.valuenum FROM chartevents WHERE chartevents.stay_id IN ( SELECT icustays.stay_id FROM icustays WHERE icustays.hadm_id IN ( SELECT admissions.h adm_id FROM admissions WHERE admissions.subject_id = 10021487 ) ) AND chartevents.itemid IN ( SELECT d_items.itemid FROM d_items WHERE d_items.label = 'input' ) AND datetime(chartevents(charttime) = '2023-12-22' )
a903f7427fcbfe8c1598e7c7,What was the name of the last specimen test which patient 10027602 has received since 02/2100?,"SELECT microbiologyevents.spec_type_desc FROM microbiologyevents WHERE microbiologyevents.hadm_id IN ( SELECT admissions.hadm_id FROM admissions WHERE admissions.subject_id = 10027602 ) AND strftime('%Y-%m',microbiologyevents.charttime) >= '2100-02' ORDER BY microbiologyevents.charttime DESC LIMIT 1",[{'spec_type_desc': 'URINE'}],SELECT test item_name FROM test items WHERE test subjects subj_id = 10027602 AND test eventscharttime >= '2002-02-21' ORDER BY test eventscharttime DESC LIMIT 1
d53217eec061327cdf9bf36c,Prazosin - How much does it cost?,SELECT DISTINCT cost.cost FROM cost WHERE cost.event_type = 'prescriptions' AND cost.event_id IN ( SELECT prescriptions.row_id FROM prescriptions WHERE prescriptions.drug = 'prazosin' ),,
d5e1e8e66d78933ac955b076,When did patient 10021487 have the last respiratory rate observed to be less than 14.0 since 09/07/2100?,"SELECT chartevents.charttime FROM chartevents WHERE chartevents.stay_id IN ( SELECT icustays.stay_id FROM icustays WHERE icustays.hadm_id IN ( SELECT admissions.hadm_id FROM admissions WHERE admissions.subject_id = 10021487 ) ) AND chartevents.itemid IN ( SELECT d_items.itemid FROM d_items WHERE d_items.label = 'respiratory rate' AND d_items.linksto = 'chartevents' ) AND chartevents.valuenum < 14.0 AND strftime('%Y-%m-%d',chartevents.charttime) >= '2100-09-07' ORDER BY chartevents.charttime DESC LIMIT 1",[],SELECT labeventscharttime FROM labevents WHERE labevents.hadm_id IN ( SELECT admissions.h adm_id FROM admissions WHERE admissions.subject_id = 10021487 ) AND labevents.itemid IN (SELECT d_labitems.itemid FROM d_labitems WHERE d Labitems.label = 'respiratory rate' ) AND labeventscharttime >= '2021-09-07' ORDER BY labeventscharttime DESC LIMIT 1
11c93be39a2819fec36e2a6b,Does patient 65759 have a record of hypotension nec in his / her family?,,,SELECT COUNT(*)>0 FROM familypt WHERE familypt patient_id = 65759 AND familypt.hypotension_nec = 'Y' OR familypt.hypotension_nec = '1' OR familypt.hypotension_nec = 'y' OR familypt.hypotension_nec = '1y' OR familypt.hypotension_nec = 'Y1' OR familypt.hypotension_nec = 'y1' OR familypt.hypotension_nec = '1Y' OR familypt.hypotension_nec = '1y1' OR familypt.hypotension_nec = 'Y1y' OR familypt.hypotension_nec = 'y1Y' OR familypt.hypotension_nec = '1Y1' OR familypt.hypotension_nec = '1y1y' OR familypt.hypotension_nec = 'Y1y1' OR familypt.hypotension_nec = 'y1Y1' OR familypt.hypotension_nec = '1Y1y' OR familypt.hypotension_nec = '1y1Y'
f14d33079f86bdf9032e4b84,What is the recently prescribed medication for patient 10018081 today compared to yesterday?,"SELECT prescriptions.drug FROM prescriptions WHERE prescriptions.hadm_id IN ( SELECT admissions.hadm_id FROM admissions WHERE admissions.subject_id = 10018081 ) AND datetime(prescriptions.starttime,'start of day') = datetime(current_time,'start of day','-0 day') EXCEPT SELECT prescriptions.drug FROM prescriptions WHERE prescriptions.hadm_id IN ( SELECT admissions.hadm_id FROM admissions WHERE admissions.subject_id = 10018081 ) AND datetime(prescriptions.starttime,'start of day') = datetime(current_time,'start of day','-1 day')",[],"SELECT t1 med, t2 value FROM medications t1 INNER JOIN medications t2 ON t1.hadm_id = t2.h adm_id WHERE t1 med = ( SELECT med FROM medications WHERE med = ( SELECT med FROM d_meds WHERE long_title = 'dopamine' ) ) AND t2charttime IN ( SELECT charttime FROM chartevents WHERE subject_id = 10018081 AND charttime >= DATE('now', '-1 day') ) ORDER BY t2charttime DESC LIMIT 1"
